region_id,sex,total_population,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75 and over
Total - 18,both_sexes,16929689,1439761,1483591,1525674,1646827,1591126,1340562,1290121,1258112,1170941,1030560,917139,671403,496177,404749,303473,359473
LK-11,both_sexes,2251274,166504,159902,155874,198876,251588,212893,190926,175443,159839,138082,128579,96501,69865,54560,41466,50376
LK-12,both_sexes,2063684,165623,158121,152525,194025,228853,185180,169005,156491,142037,123262,111829,82061,60274,48743,38779,46876
LK-13,both_sexes,1066239,88501,85227,87708,97131,100353,84336,80946,77893,70994,64234,60994,48024,36615,30045,23476,29762
LK-21,both_sexes,1279028,109385,113383,119460,125144,114925,91803,92768,94775,88572,79283,72212,53825,41002,31759,23478,27254
LK-22,both_sexes,441328,39039,39981,42110,44763,38188,32222,32914,33867,31444,27822,23570,16776,12747,10043,7576,8266
LK-23,both_sexes,703610,65442,67194,70127,69744,62141,51308,50609,52009,48518,42505,40472,30552,20284,14639,8983,9083
LK-31,both_sexes,990487,85538,89496,94580,95143,83062,70097,70014,68358,64868,57076,53033,42725,33932,29275,23402,29888
LK-32,both_sexes,761370,65585,70369,75842,74874,61572,52007,51044,51444,51496,45729,40878,31624,23331,22665,18326,24584
LK-33,both_sexes,526414,46248,52697,56187,53992,41786,36724,36959,37521,37360,34278,26580,16932,12828,13135,10218,12969
LK-53,both_sexes,592997,62061,65582,62378,66684,55831,47319,45736,43440,37255,29789,24805,17821,12598,9464,6337,5897
LK-61,both_sexes,1460215,118168,124161,132315,143745,122991,108726,109147,111449,108399,98780,84085,57248,43457,36391,28329,32824
LK-62,both_sexes,709677,69841,70502,68269,75702,70156,56733,51773,49858,44356,40524,36096,24124,17077,13404,9986,11276
LK-71,both_sexes,745693,68605,72842,74439,75457,71738,62910,58243,56883,53163,45287,35660,21879,16500,13298,9237,9552
LK-72,both_sexes,358984,31274,34398,35562,36954,33932,30439,28831,28247,25305,21898,17550,11707,8234,6307,4063,4283
LK-81,both_sexes,779983,73431,77300,80658,77291,64155,57307,59749,60091,54784,45115,38483,29867,21932,17256,10981,11583
LK-82,both_sexes,397375,37067,44149,45326,42555,34344,29844,29759,30147,27089,22778,17505,11985,8311,6845,4659,5012
LK-91,both_sexes,1015807,82746,92793,102536,102421,90932,76138,75087,72429,69069,61832,56308,41756,29721,25004,17254,19781
LK-92,both_sexes,785524,64703,65494,69778,72326,64579,54576,56611,57767,56393,52286,48500,35996,27469,21916,16923,20207
Total,both_sexes,75,,,,,,,,,,,,,,,,
Total - 18,male,8425607,733775,754518,777519,834695,798288,660586,636734,622957,583894,509247,452311,324223,241081,188007,142030,165742
LK-11,male,1151413,85276,82036,80158,104340,135584,112710,100122,89406,80918,69423,64763,47125,33842,25325,18710,21675
LK-12,male,1007702,84336,80753,78555,95184,109829,89622,82626,76747,69613,60341,54195,38678,28507,21515,16984,20217
LK-13,male,527281,45057,43364,44857,49539,50894,41493,39775,38453,34931,31165,29561,22995,17434,13705,10710,13348
LK-21,male,623966,55286,57271,60375,62900,55575,43147,43852,45593,43250,38417,34950,25590,20010,14651,10928,12171
LK-22,male,220070,19885,20267,21540,22588,19005,15565,16057,16856,15933,13887,11805,8068,6229,4660,3653,4072
LK-23,male,350024,33477,34070,35882,35171,30605,24730,24708,25338,24166,20839,19896,14895,10243,7126,4435,4443
LK-31,male,481849,43869,45860,48511,47862,40970,33319,32985,32524,31235,27150,25004,19705,15628,13072,10807,13348
LK-32,male,369247,33569,35994,38746,37547,30005,24553,23621,23919,24546,21395,19240,14697,10953,10533,8639,11290
LK-33,male,263197,23630,26765,28489,27383,21178,18072,17807,18348,18687,17063,13386,8395,6346,6225,4914,6509
LK-53,male,299004,31628,33325,31632,34411,27784,22781,22493,21553,18969,14952,12743,9143,6523,4978,3163,2926
LK-61,male,723179,60131,63027,68068,73496,61366,52513,52939,54794,53971,48389,41035,27282,20722,16374,13260,15812
LK-62,male,352455,35437,35474,34709,38144,35430,28369,25943,25075,22246,19625,17629,11412,8043,5900,4189,4830
LK-71,male,380516,35100,37191,37942,38924,36129,31736,29791,29391,27507,23171,18501,11105,8290,6355,4534,4849
LK-72,male,187789,15946,17470,18242,19285,17938,15925,15258,15016,13520,11666,9408,6196,4410,3108,2141,2260
LK-81,male,387583,37353,39312,41049,39088,31433,27041,28933,29901,27448,22452,18855,14485,10813,8327,5456,5637
LK-82,male,202816,18912,22551,22618,21474,17033,14481,14953,15375,14168,12100,9410,6391,4504,3639,2459,2748
LK-91,male,512903,42135,46758,51201,51333,45835,38403,37884,36488,35099,31605,28462,20961,15210,12452,8952,10125
LK-92,male,384613,32748,33030,34945,36026,31695,26126,26987,28180,27687,25607,23468,17100,13374,10062,8096,9482
Total,male,75,,,,,,,,,,,,,,,,
Total - 18,female,8504082,705986,729073,748155,812132,792838,679976,653387,635155,587047,521313,464828,347180,255096,216742,161443,193731
LK-11,female,1099861,81228,77866,75716,94536,116004,100183,90804,86037,78921,68659,63816,49376,36023,29235,22756,28701
LK-12,female,1055982,81287,77368,73970,98841,119024,95558,86379,79744,72424,62921,57634,43383,31767,27228,21795,26659
LK-13,female,538958,43444,41863,42851,47592,49459,42843,41171,39440,36063,33069,31433,25029,19181,16340,12766,16414
LK-21,female,655062,54099,56112,59085,62244,59350,48656,48916,49182,45322,40866,37262,28235,20992,17108,12550,15083
LK-22,female,221258,19154,19714,20570,22175,19183,16657,16857,17011,15511,13935,11765,8708,6518,5383,3923,4194
LK-23,female,353586,31965,33124,34245,34573,31536,26578,25901,26671,24352,21666,20576,15657,10041,7513,4548,4640
LK-31,female,508638,41669,43636,46069,47281,42092,36778,37029,35834,33633,29926,28029,23020,18304,16203,12595,16540
LK-32,female,392123,32016,34375,37096,37327,31567,27454,27423,27525,26950,24334,21638,16927,12378,12132,9687,13294
LK-33,female,263217,22618,25932,27698,26609,20608,18652,19152,19173,18673,17215,13194,8537,6482,6910,5304,6460
LK-53,female,293993,30433,32257,30746,32273,28047,24538,23243,21887,18286,14837,12062,8678,6075,4486,3174,2971
LK-61,female,737036,58037,61134,64247,70249,61625,56213,56208,56655,54428,50391,43050,29966,22735,20017,15069,17012
LK-62,female,357222,34404,35028,33560,37558,34726,28364,25830,24783,22110,20899,18467,12712,9034,7504,5797,6446
LK-71,female,365177,33505,35651,36497,36533,35609,31174,28452,27492,25656,22116,17159,10774,8210,6943,4703,4703
LK-72,female,171195,15328,16928,17320,17669,15994,14514,13573,13231,11785,10232,8142,5511,3824,3199,1922,2023
LK-81,female,392400,36078,37988,39609,38203,32722,30266,30816,30190,27336,22663,19628,15382,11119,8929,5525,5946
LK-82,female,194559,18155,21598,22708,21081,17311,15363,14806,14772,12921,10678,8095,5594,3807,3206,2200,2264
LK-91,female,502904,40611,46035,51335,51088,45097,37735,37203,35941,33970,30227,27846,20795,14511,12552,8302,9656
LK-92,female,400911,31955,32464,34833,36300,32884,28450,29624,29587,28706,26679,25032,18896,14095,11854,8827,10725
